SRC,TGT,Sign,FFpp,FFpm,FFmp,FFmm,FBpp,FBpm,FBmp,FBmm,BFpp,BFpm,BFmp,BFmm,BBpp,BBpm,BBmp,BBmm,TXT
447,156,1,13,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,Although technically I authored 
2962,256,1,2,0,0,0,18,2,1,7,2,0,0,0,7,1,1,0,Fully Qualified
31,6021,1,9,0,0,0,5,0,0,0,3,0,0,0,1,0,0,0,per all above - fully qualified no issues 
6097,3942,1,5,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,He is obviously a good vandal fighter and also seems to be writing good articles But I am concerned about the big peak in the last 2 months It beats me as to why the user took so long to discover tools which he could have found at the CVU page Still I vote support as I don't see him abusing his admin tools All the best for the future - Aksi_gr
398,565,1,7,4,1,0,7,1,1,0,2,0,1,0,0,0,0,0,Maybe I'm a bit quick to jump here but I think you've improved enough from the last one 
751,66,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,You have to be kidding me Fast becoming one of the people I would list as an example of someone who shouldn't be an admin Trolls around just looking to cause trouble Has gotten himself blocked a number of times Abused his bot flag Can't handle criticism Personally some days I question his ability to even edit here nevermind be an admin -
2187,5799,1,9,0,1,0,26,2,1,1,0,0,0,0,0,0,0,0,No problems here A great editor 
203,1000,1,0,0,0,0,21,3,0,0,4,0,0,0,3,2,0,0,I certainly do not see any issues with this user that may lead me to believe that they would not make good use of the sysop tools 
369,1662,1,5,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,Have had positive interactions with this level-headed user Good answers to questions though I'll note 
6351,7136,1,3,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,One of the best damn users on Wiki Period 
1798,2050,1,7,0,0,0,11,1,3,1,3,0,0,0,5,0,0,0,it's-a-pile-on-so-it-doesn't-really-count-except-for-the-symbolism support 
343,1760,1,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,excellent nominators and an excellent candidate 
1873,375,-1,0,0,1,0,0,0,0,0,8,3,0,0,0,0,0,0,Regretful Oppose sorry to oppose you've always seemed like a great guy when I've seen you around and I really hope you don't take this oppose personally But there's a lot of things in you contributions which without a proper explanation feel free to reply to anything leaves me unsure ArbCom disallowed any automated edits from your account but there's a lot of seemingly automated or possibly semi-automated edits coming from your account or obviously there's no way to prove that you were/weren't observing these edits properly improperly viewed For example in June you were going through a lot of redirects 50+ removing any text below the actual redirect and in some cases replacing it with a redirect template such as {{tl|R with possibilities}} but in 
6251,9336,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,Good editor will make an excellent admin 
