SRC,TGT,Sign,FFpp,FFpm,FFmp,FFmm,FBpp,FBpm,FBmp,FBmm,BFpp,BFpm,BFmp,BFmm,BBpp,BBpm,BBmp,BBmm,TXT
4227.0,3640.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,moral support reccomending
97.0,5045.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,your edit history looks good
206.0,8402.0,1.0,4.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,like last time
751.0,66.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,you have to be kidding me fast becoming one of the people i would list as an example of someone who shouldn t be an admin trolls around just looking to cause trouble has gotten himself blocked a number of times abused his bot flag can not handle criticism personally some days i question his ability to even edit here nevermind be an admin
7136.0,6134.0,-1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,i cannot trust this user to close deletion discussions based on
414.0,3094.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,did you know that i want to start this ball rolling again law has proven himself to me not only from the content he has developed but also from the great answers he is given in the questions above obviously has a clue about things and is willing to help
1798.0,2050.0,1.0,3.0,0.0,0.0,0.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,it is a pile on so it does not really count except for the symbolism support
2209.0,7357.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,i did not know he wasn t one tm support all around nice guy and solid contributor toolsmeister extraordinaire
3005.0,4299.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,per my
2256.0,3314.0,-1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,i am trying not to oppose things lately but a lack of understanding of blp is a dealbreaker even if i could just about overlook the open political bias
2187.0,9197.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,his edit counts are impressive
4935.0,9044.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,but support nonetheless take care with content disputes would you
41.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,builders build houses for people to live in decorators paint them groundwork people prepare sites for builders to build on demolition men remove houses that are not sound removal men bring the belongings of the people who are going to live in the houses legislators make regulations concerning standards of construction and safety all necessary jobs unless you live in a grass or mud hut area they do not all need a full knowledge of each other is jobs i can not see any reason why bdd won t make a good admin
601.0,606.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,i can not say my interactions with purplebackpack89 have been positive and he is pretty blunt in his comments but he is been around for quite a while and has contributed a lot to the project perhaps he shouldn t be an admin but he does not deserve to be sitting at 0 18
1062.0,8326.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,we need all around editors looking at your history i think you d do a great job
804.0,1221.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported initially withdrew support pending consideration of oppose votes reconsidered carefully and concluded with support christine needs to remember that
691.0,575.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,he is a great guy and a highly capable editor noms are great
109.0,399.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,what i see is an editor familiar with afd who would like to get the tools to help him in this area and open to learning how to use them elsewhere with no indication he would misuse them as for me mop n bucket are not a big deal i do not see why this editor should not get to try them out
4752.0,1779.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,the edits i have seen have generally been of very high quality however since brenneman was so
2559.0,6234.0,1.0,8.0,3.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,great user
8402.0,5562.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,as per xoloz
4116.0,6823.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,switch support reviewed my very weak oppose good luck
2207.0,1986.0,-1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,regretful oppose download is friendly and helpful and my interactions with him have been positive but the issues raised about the recent afd make me feel he is not quite ready for the mop copyvio in particular is very serious and i think admins need to be pretty unapologetic about removing it i will almost certainly support if you run again in several months and can show that you have gained some more knowledge of this and related content policies best
2187.0,8371.0,-1.0,11.0,8.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,firstly i wish to give credit to this user for contributing greatly to wikipedia he is a good user and his presence here is an asset to the project however the lack of civility is an immense concern administrators need to show a high standard of civility however if this user learns from his mistakes i would definitely support him in the future
2187.0,7469.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per nom
1209.0,9513.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,per original vote citing civility issues
2187.0,3782.0,1.0,16.0,1.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a very experienced former admin no reason to oppose we need more admins
814.0,3840.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,strong user deserves the mop going to make a superb admin keep up the good work
1122.0,1031.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,per nom
522.0,8324.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,appears to have the qualities necessary to make a good administrator
3191.0,4330.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,yes why are not more people piling on
