SRC,TGT,Sign,FFpp,FFpm,FFmp,FFmm,FBpp,FBpm,FBmp,FBmm,BFpp,BFpm,BFmp,BFmm,BBpp,BBpm,BBmp,BBmm
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,388,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,67,-1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,323,-1,12,0,1,0,0,0,0,0,0,3,5,1,2,0,0,0,0
4,37,1,7,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0
4,237,1,8,0,0,0,0,0,0,0,0,4,1,0,2,0,1,0,0
4,1007,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
4,216,-1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4,101,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,101,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5,110,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,783,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,148,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,238,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,662,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,794,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,573,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,96,-1,9,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0
6,416,1,10,0,0,0,0,3,1,0,0,1,0,3,2,0,0,0,0
6,98,-1,9,0,0,0,0,0,0,1,0,0,2,0,4,1,0,1,0
6,707,1,8,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0
6,101,1,4,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
6,832,-1,7,0,0,0,0,0,1,0,0,1,1,0,4,0,0,0,0
6,9,1,6,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0
6,110,-1,11,0,0,1,0,0,0,0,0,0,2,1,6,0,0,1,0
6,240,1,10,0,0,0,0,1,0,0,0,1,0,0,6,2,0,0,0
6,400,1,6,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0
6,631,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
6,120,-1,5,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0
6,576,1,15,1,0,0,1,0,0,0,0,3,0,2,6,0,1,1,0
6,506,1,7,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
7,2304,-1,9,2,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0
7,1027,-1,14,0,4,2,1,1,0,2,2,0,0,1,1,0,0,0,0
7,4,-1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1799,-1,9,1,2,1,2,1,0,0,0,0,0,0,2,0,0,0,0
7,136,-1,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
7,12,-1,19,2,1,0,3,4,0,1,5,0,0,0,2,0,0,1,0
7,1805,1,5,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
7,2062,-1,4,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7,2063,-1,8,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0
7,2064,-1,5,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0
7,1041,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,275,-1,7,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0
7,1302,1,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
7,1015,-1,6,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
7,2333,-1,4,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0
7,112,-1,12,1,2,0,2,2,0,1,3,0,0,0,1,0,0,0,0
7,945,1,11,1,1,0,0,0,1,0,7,0,0,0,0,0,0,1,0
7,2097,-1,7,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0
7,1206,-1,6,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0
7,329,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,441,1,12,2,0,2,0,1,1,0,3,0,0,0,2,0,1,0,0
7,1596,1,5,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
7,2109,-1,10,2,2,1,1,0,0,0,1,1,0,0,2,0,0,0,0
7,190,1,6,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1984,-1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2881,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,578,1,8,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0
7,67,-1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,1222,-1,6,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
7,113,1,12,0,0,0,0,1,1,2,6,0,0,0,0,0,1,1,0
7,204,1,6,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0
7,887,-1,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
7,2124,1,10,0,1,0,1,1,0,1,2,0,0,0,4,0,0,0,0
7,1486,-1,19,1,1,0,0,3,2,0,9,0,1,1,1,0,0,0,0
7,1230,-1,4,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7,2005,-1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,313,1,5,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0
7,2009,-1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7,1274,1,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7,734,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
