SRC,TGT,Sign
2700,4496,-1
2191,812,-1
4946,7426,-1
1799,2782,-1
4154,4794,-1
163,1647,-1
3882,1570,-1
3088,4503,-1
221,269,-1
105,322,-1
1650,1646,-1
2011,2109,-1
455,6332,-1
4253,9683,-1
1768,1009,-1
1028,921,-1
407,1412,-1
6553,10821,-1
2219,2600,-1
4085,1412,-1
5040,1948,-1
6007,5981,-1
577,3910,-1
6135,8403,-1
278,399,-1
2711,3471,-1
6135,1304,-1
3001,3000,-1
618,1570,-1
95,96,-1
4577,3413,-1
8047,10041,-1
6132,4784,-1
356,2899,-1
2979,2963,-1
289,213,-1
219,2029,-1
3301,2529,-1
7396,4393,-1
2273,566,-1
1391,1982,-1
297,3874,-1
2051,7984,-1
6729,8038,-1
2257,1470,-1
4793,5441,-1
6750,8507,-1
3374,4125,-1
2759,5461,-1
6667,9858,-1
75,2835,-1
6100,9220,-1
7857,7225,-1
6667,6252,-1
7137,8035,-1
4754,3226,-1
996,11021,-1
1158,2828,-1
4253,3882,-1
4370,457,-1
3599,239,-1
6056,6727,-1
3015,3955,-1
6337,468,-1
3289,4055,-1
951,1799,-1
253,120,-1
2184,7893,-1
4864,7601,-1
6628,6621,-1
105,2039,-1
10894,444,-1
1396,1663,-1
2130,4947,-1
3001,58,-1
7457,7869,-1
8002,8056,-1
961,4496,-1
8581,8458,-1
974,5470,-1
159,41,-1
600,166,-1
4296,4481,-1
6121,4135,-1
1147,2058,-1
4864,86,-1
815,5731,-1
4154,1063,-1
6069,10280,-1
134,127,-1
4340,4690,-1
2878,7543,-1
4117,5531,-1
3370,6252,-1
10099,3637,-1
4465,4125,-1
577,9918,-1
4284,5881,-1
2812,376,-1
7114,3526,-1
2254,346,-1
714,2264,-1
815,1271,-1
4117,5489,-1
3205,4005,-1
2963,974,-1
3676,3592,-1
3991,4393,-1
6717,9840,-1
189,2553,-1
2188,9756,-1
5570,1780,-1
2998,5426,-1
775,110,-1
163,692,-1
2151,747,-1
8046,8254,-1
4117,6804,-1
9233,4204,-1
430,3637,-1
3426,2597,-1
2578,269,-1
7372,3523,-1
2488,399,-1
2395,6124,-1
2078,4087,-1
9126,7712,-1
86,3063,-1
6293,7658,-1
210,7697,-1
399,2240,-1
577,5241,-1
541,573,-1
8291,9524,-1
8245,6752,-1
6201,6360,-1
60,237,-1
411,5426,-1
1740,812,-1
7824,8840,-1
1622,5661,-1
1834,5527,-1
1597,94,-1
6246,3697,-1
61,3910,-1
577,4106,-1
1179,4249,-1
460,67,-1
951,1499,-1
2339,2829,-1
3150,974,-1
358,3201,-1
8087,8036,-1
855,532,-1
2214,11241,-1
708,196,-1
6129,7137,-1
7711,9709,-1
2627,3691,-1
1497,94,-1
3535,3504,-1
8427,3703,-1
2473,3003,-1
863,4271,-1
7306,196,-1
1198,1193,-1
2188,2688,-1
846,10382,-1
7995,9588,-1
9903,5685,-1
6076,5584,-1
5857,9147,-1
855,2052,-1
63,607,-1
4253,8038,-1
3487,7921,-1
292,328,-1
4189,3050,-1
703,1144,-1
6671,11228,-1
2391,4055,-1
2427,4647,-1
3699,9531,-1
288,213,-1
7666,5829,-1
8007,5621,-1
307,2470,-1
1271,4232,-1
692,2090,-1
828,3315,-1
282,213,-1
1001,1647,-1
10518,6389,-1
106,106,-1
6054,6930,-1
2488,3895,-1
2034,1626,-1
1650,1730,-1
5853,5627,-1
10,576,-1
367,4245,-1
1799,2835,-1
4289,5531,-1
2123,1705,-1
5010,5776,-1
951,2488,-1
441,2257,-1
3247,7189,-1
4362,974,-1
1704,930,-1
10639,10590,-1
5969,330,-1
991,2386,-1
5476,8098,-1
561,36,-1
413,2484,-1
5172,6119,-1
5591,9147,-1
4810,4793,-1
5126,7380,-1
1396,1782,-1
1508,376,-1
6201,6195,-1
10940,11197,-1
1907,4524,-1
2376,7029,-1
6004,640,-1
3699,6752,-1
731,3138,-1
4976,7871,-1
338,1015,-1
6739,665,-1
3241,451,-1
6733,2629,-1
8192,6737,-1
3538,6857,-1
6511,3841,-1
3991,5510,-1
3002,3956,-1
1413,1396,-1
164,7772,-1
460,659,-1
4495,4463,-1
44,218,-1
413,3964,-1
2150,3731,-1
2415,2106,-1
265,157,-1
4800,3697,-1
2812,5637,-1
6135,8351,-1
121,5310,-1
815,370,-1
919,1184,-1
5872,1896,-1
5848,5765,-1
4247,815,-1
430,10722,-1
1396,945,-1
1781,11034,-1
4397,4927,-1
9923,10104,-1
5760,7214,-1
210,4706,-1
3665,5545,-1
350,3315,-1
202,4679,-1
3807,106,-1
1548,230,-1
5630,7124,-1
6335,10864,-1
413,309,-1
5759,6325,-1
3846,4196,-1
876,6723,-1
140,399,-1
41,2058,-1
930,4645,-1
4191,309,-1
8289,9821,-1
2189,3074,-1
6117,9465,-1
61,1151,-1
2130,4123,-1
157,1122,-1
595,2247,-1
123,930,-1
5943,4920,-1
4275,4690,-1
8365,10880,-1
746,3269,-1
5762,7960,-1
154,17,-1
7995,8390,-1
5622,7380,-1
543,136,-1
799,4047,-1
4144,6173,-1
665,1185,-1
1205,921,-1
941,239,-1
10118,10049,-1
4462,4125,-1
1124,10741,-1
2381,6082,-1
6732,8351,-1
4085,2700,-1
1137,2704,-1
3024,3009,-1
8019,9812,-1
815,4706,-1
222,5209,-1
270,4411,-1
876,5618,-1
8033,9933,-1
825,1624,-1
3213,1570,-1
603,1647,-1
3759,4503,-1
2457,5453,-1
279,187,-1
1995,2250,-1
6750,1766,-1
2186,3788,-1
584,9439,-1
5853,9190,-1
8050,7614,-1
3355,399,-1
6971,7540,-1
7705,9319,-1
856,4029,-1
9075,7706,-1
161,230,-1
8033,8041,-1
1025,4033,-1
580,1579,-1
8363,4936,-1
183,2488,-1
6135,8752,-1
7167,7538,-1
3336,9788,-1
8833,10856,-1
3761,7601,-1
413,5995,-1
6135,7912,-1
2418,4207,-1
1834,2764,-1
3513,9582,-1
29,1470,-1
4145,9920,-1
2395,2391,-1
2082,8941,-1
210,815,-1
816,499,-1
2149,3201,-1
8804,2285,-1
1741,1803,-1
2157,7763,-1
5703,106,-1
2218,1508,-1
2143,376,-1
3393,5771,-1
2304,2835,-1
8833,10722,-1
2242,3624,-1
121,3956,-1
4154,6805,-1
7481,7776,-1
4047,9333,-1
2385,4646,-1
812,419,-1
4154,6493,-1
1456,1488,-1
292,7921,-1
112,388,-1
2404,812,-1
899,3504,-1
362,1393,-1
402,5636,-1
2150,1824,-1
4074,58,-1
905,169,-1
814,3374,-1
2354,1278,-1
959,41,-1
6135,4793,-1
6735,9336,-1
745,110,-1
479,4007,-1
2917,1730,-1
7667,9528,-1
210,6616,-1
1278,2750,-1
89,2084,-1
453,3592,-1
846,3073,-1
2533,2926,-1
5274,2111,-1
9903,3637,-1
8340,9563,-1
3975,812,-1
7831,9530,-1
156,2871,-1
2499,3637,-1
5997,8351,-1
5868,9267,-1
3904,5785,-1
1683,2782,-1
4793,5618,-1
2571,7778,-1
3943,8094,-1
94,1971,-1
3236,11225,-1
377,106,-1
2082,7844,-1
4800,9154,-1
4752,5008,-1
2184,3592,-1
2011,4007,-1
2143,2178,-1
4427,3576,-1
1237,8351,-1
4609,10014,-1
3256,4412,-1
1632,1015,-1
523,812,-1
1677,6309,-1
49,5546,-1
991,547,-1
10240,10779,-1
2135,3997,-1
4600,10014,-1
278,5585,-1
3952,1563,-1
133,2454,-1
815,1009,-1
4480,6420,-1
134,2091,-1
2415,871,-1
3008,571,-1
112,1356,-1
257,830,-1
4154,6903,-1
3322,7380,-1
3954,7991,-1
4882,7901,-1
8064,9267,-1
413,640,-1
1810,928,-1
3002,4905,-1
439,2789,-1
3342,6593,-1
584,5969,-1
9192,3056,-1
1884,1396,-1
134,318,-1
3170,1364,-1
1677,444,-1
4193,4418,-1
2222,7423,-1
4289,1579,-1
1237,10908,-1
8665,11228,-1
2135,1218,-1
3396,1650,-1
5153,9583,-1
8385,9533,-1
6747,1766,-1
210,1874,-1
1764,4528,-1
902,2183,-1
206,5329,-1
75,3471,-1
83,1966,-1
167,443,-1
7705,9478,-1
1705,3877,-1
1343,1517,-1
