#
# wiki-RFA In Degree. G(11401, 189004). 1961 (0.1720) nodes with in-deg > avg deg (33.2), 1068 (0.0937) with >2*avg.deg (Tue Nov 28 09:23:47 2017)
#
# In-degree	Count
0	7904
1	52
2	39
3	73
4	59
5	80
6	68
7	74
8	67
9	54
10	52
11	67
12	65
13	67
14	44
15	47
16	46
17	46
18	50
19	43
20	48
21	40
22	32
23	37
24	21
25	24
26	28
27	30
28	38
29	27
30	39
31	28
32	26
33	25
34	30
35	24
36	28
37	22
38	35
39	33
40	42
41	22
42	24
43	21
44	20
45	23
46	29
47	37
48	37
49	27
50	29
51	27
52	22
53	20
54	26
55	38
56	30
57	31
58	18
59	27
60	25
61	33
62	17
63	26
64	25
65	28
66	17
67	29
68	23
69	17
70	20
71	19
72	23
73	21
74	26
75	13
76	19
77	17
78	12
79	19
80	23
81	9
82	19
83	20
84	13
85	23
86	22
87	10
88	15
89	15
90	12
91	14
92	21
93	19
94	23
95	11
96	11
97	9
98	7
99	7
100	16
101	7
102	17
103	7
104	13
105	4
106	11
107	11
108	9
109	13
110	7
111	4
112	8
113	8
114	9
115	7
116	8
117	8
118	5
119	11
120	5
121	5
122	8
123	3
124	4
125	6
126	7
127	1
128	13
129	4
130	5
131	3
132	8
133	2
134	3
135	7
136	4
137	3
138	5
139	7
140	4
141	4
142	4
143	1
144	1
145	2
146	2
147	6
148	7
149	6
150	8
151	2
152	5
154	5
155	2
156	6
157	1
159	5
160	5
161	3
162	3
163	3
164	6
165	4
166	3
167	2
168	2
169	2
172	4
173	1
174	1
175	1
176	3
177	1
178	4
179	2
180	4
181	2
183	1
184	1
185	5
186	1
187	2
188	2
189	5
190	2
191	2
192	1
193	2
194	1
195	2
196	1
199	1
200	1
202	1
204	1
205	1
207	2
210	2
211	1
212	1
214	1
215	1
216	2
217	1
219	1
220	1
221	2
222	1
223	1
224	1
226	1
227	1
229	1
232	1
234	1
237	2
242	1
243	1
246	1
250	1
253	1
255	1
259	1
262	1
264	1
274	1
276	1
277	3
284	1
286	2
289	1
304	1
318	2
324	1
339	1
351	1
354	1
356	2
375	1
379	1
444	1
458	1
485	1
491	1
518	1
534	1
726	1
