#
# wiki-rfa. G(8740, 78568). 1603 (0.1834) nodes with in-deg > avg deg (18.0), 598 (0.0684) with >2*avg.deg (Wed Jan 17 14:45:42 2018)
#
# In-degree	Count
0	5277
1	66
2	80
3	118
4	104
5	134
6	149
7	133
8	132
9	107
10	135
11	124
12	105
13	95
14	110
15	99
16	94
17	75
18	93
19	74
20	71
21	64
22	60
23	78
24	66
25	55
26	58
27	47
28	48
29	50
30	40
31	43
32	43
33	48
34	39
35	28
36	34
37	21
38	28
39	17
40	21
41	34
42	22
43	24
44	17
45	15
46	10
47	19
48	19
49	12
50	9
51	7
52	16
53	10
54	9
55	6
56	11
57	15
58	10
59	8
60	9
61	3
62	8
63	8
64	8
65	3
66	6
67	9
68	3
69	2
70	3
71	7
72	4
73	6
74	3
75	6
76	4
77	4
78	6
79	2
80	2
81	2
82	1
83	3
84	2
85	2
86	4
87	5
88	3
89	5
91	2
92	4
93	2
94	3
95	1
96	1
99	3
100	1
102	1
103	3
104	2
107	3
108	3
109	2
110	1
111	2
112	4
113	1
114	1
118	1
121	1
122	1
125	1
127	2
128	3
129	1
136	2
140	2
145	1
146	1
152	1
155	1
161	1
163	1
178	1
189	1
199	1
202	1
213	1
219	1
223	1
247	1
283	1
298	1
390	1
